,site_id,vehicle_id,price,volume,row_value,make,model,manfyear,fuel_type,transmission_type,recalled
0,1,69465,12396,1,12396,KIA,PICANTO SPORT,2017.0,electric,manual,0.0
1,3,71264,31547,5,157735,Suzuki,CELERIO SZ3,2017.0,electric,manual,0.0
2,2,64473,28997,3,86991,Ford,S-MAX ZETEC TDCI (143),2008.0,diesel,automatic,0.0
3,1,43486,26818,1,26818,VW,TIGUAN SEL 4MOTION TDI 150 AUTO,2017.0,petrol,manual,0.0
4,3,22698,25799,8,206392,Ford,FOCUS SPORT,2005.0,petrol,automatic,0.0
5,2,58931,9722,6,58332,Vauxhall,CORSA S ECOFLEX,2015.0,petrol,automatic,0.0
6,2,61909,26031,7,182217,AUDI,A4 S LINE BLACK EDITION QUATTRO TDI 177 AUTO,2014.0,electric,manual,0.0
7,3,73193,33880,2,67760,Ford,FOCUS TITANIUM 125 AUTO,2015.0,diesel,manual,0.0
8,3,52114,20685,8,165480,HONDA,CR-V S NAVI I-DTEC 120 2WD,2018.0,diesel,manual,0.0
9,3,34402,21990,7,153930,KIA,CEE'D 1 CRDI (89),2013.0,diesel,automatic,0.0
10,2,19186,8293,7,58051,LANDROVER,RANGE ROVER SPORT V8 AUTO,2005.0,petrol,automatic,0.0
11,3,27181,25877,7,181139,BMW,220D ACTIVE TOURER LUXURY AUTO,2016.0,electric,automatic,0.0
12,3,13571,8502,5,42510,VW,GOLF SE NAV TSI EVO 150 AUTO,2019.0,petrol,manual,0.0
13,1,75681,11865,2,23730,VAUXHALL,MERIVA TECH LINE CDTI 136,2017.0,petrol,manual,0.0
14,3,29914,20725,2,41450,VW,CARAVELLE SE TDI BMT 140 LWB AUTO,2015.0,diesel,automatic,0.0
15,2,75233,11513,4,46052,VW,POLO TWIST TDI PD,2004.0,petrol,manual,0.0
16,2,3032,19057,8,152456,Audi,A3 SPECIAL EDITION TDI,2007.0,petrol,manual,0.0
17,3,11019,17068,1,17068,Renault,MEGANE SCENIC EXPRESSION VVT,2003.0,petrol,automatic,0.0
18,2,28786,23090,8,184720,Nissan,NOTE TEKNA STYLE DIG-S,2014.0,petrol,manual,0.0
19,1,15387,34569,7,241983,Nissan,MICRA S AUTO,2002.0,diesel,manual,1.0
20,2,20306,28104,2,56208,Fiat,500 LOUNGE TWINAIR 85,2011.0,diesel,manual,0.0
21,3,43586,15723,5,78615,Sym,CITY HOPPER,2001.0,electric,automatic,0.0
22,3,68270,30166,3,90498,Ford,KUGA TITANIUM TDCI 180 4WD,2017.0,electric,automatic,0.0
23,1,73883,9178,1,9178,Mazda,MX-5 SPORT CABRIOLET,2004.0,diesel,automatic,0.0
24,3,42014,6957,3,20871,JAGUAR,F-TYPE R-DYNAMIC AUTO,2019.0,electric,manual,0.0
25,3,37169,24565,5,122825,BMW,X5 D M SPORT AUTO,2008.0,electric,manual,0.0
26,3,26524,6431,7,45017,PORSCHE,911 CARRERA,2001.0,petrol,automatic,1.0
27,1,26145,32842,1,32842,Vauxhall,ASTRAVAN SPORTIVE CDTI 125,2012.0,diesel,automatic,0.0
28,1,39630,22432,1,22432,Audi,A4 ALLROAD QUATTRO TDI (177),2012.0,diesel,manual,0.0
29,3,27435,28955,2,57910,FORD,FOCUS ZETEC CLIMATE,2005.0,petrol,automatic,0.0
30,1,60146,19444,7,136108,Audi,TT TDI (170) QUATTRO COUPE,2009.0,petrol,automatic,0.0
31,1,32601,31219,4,124876,VAUXHALL,ASTRA GTC SRI CDTI,2014.0,petrol,automatic,0.0
32,2,40567,11216,5,56080,PORSCHE,MACAN S D (262) AUTO,2017.0,petrol,manual,0.0
33,2,20804,27076,3,81228,VW,TIGUAN S BMT TDI (140) 4MOTION,2012.0,petrol,automatic,0.0
34,3,27325,19545,1,19545,TOYOTA,COROLLA VERSO SR D-4D,2007.0,petrol,automatic,0.0
35,1,41789,20805,6,124830,AUDI,A4 S LINE BLACK EDITION TFSI 190 AUTO,2017.0,petrol,manual,0.0
36,1,3426,15431,2,30862,AUDI,A4 SPORT TDI ULTRA 150 AUTO,2016.0,diesel,manual,0.0
37,1,18666,27987,7,195909,VW,GOLF S TDI (105),2005.0,electric,manual,0.0
38,3,19669,21982,2,43964,AUDI,Q3 SE TDI 150,2015.0,electric,manual,0.0
39,1,58728,14286,2,28572,CITROEN,C4 PICASSO EXCLUSIVE E-HDI 115 AIRDREAM AUTO,2014.0,petrol,automatic,0.0
40,3,58818,21839,3,65517,RENAULT,CAPTUR DYNAMIQUE MEDIANAV ENERGY TCE 90,2014.0,diesel,manual,0.0
41,3,71600,23358,5,116790,Mazda,6 TS,2009.0,petrol,automatic,0.0
42,2,17232,11611,6,69666,Vauxhall,INSIGNIA SRI NAV CDTI 136,2015.0,petrol,manual,0.0
43,3,58907,30202,1,30202,VAUXHALL,ASTRA EXCLUSIV ECOFLEX CDTI (110),2012.0,diesel,automatic,0.0
44,3,46451,16401,8,131208,FIAT,PUNTO (GRANDE) ACTIVE,2007.0,electric,automatic,0.0
45,2,10405,7840,4,31360,CITROEN,C3 FEEL PURETECH 82,2019.0,electric,automatic,0.0
46,3,68037,22959,3,68877,FORD,FOCUS ST 3 TDCI,2018.0,petrol,automatic,0.0
