site_id,vehicle_id,price,volume
1,69465,12396,1
3,71264,31547,5
2,64473,28997,3
1,43486,26818,1
3,22698,25799,8
2,58931,9722,6
2,61909,26031,7
3,73193,33880,2
3,52114,20685,8
3,34402,21990,7
2,19186,8293,7
3,27181,25877,7
3,13571,8502,5
1,75681,11865,2
3,29914,20725,2
2,75233,11513,4
2,3032,19057,8
3,11019,17068,1
2,28786,23090,8
1,15387,34569,7
2,20306,28104,2
3,43586,15723,5
3,68270,30166,3
1,73883,9178,1
3,42014,6957,3
3,37169,24565,5
3,26524,6431,7
1,26145,32842,1
1,39630,22432,1
3,27435,28955,2
1,60146,19444,7
1,32601,31219,4
2,40567,11216,5
2,20804,27076,3
3,27325,19545,1
1,41789,20805,6
1,3426,15431,2
1,18666,27987,7
3,19669,21982,2
1,58728,14286,2
3,58818,21839,3
3,71600,23358,5
2,17232,11611,6
3,58907,30202,1
3,46451,16401,8
2,10405,7840,4
3,68037,22959,3
1,26137,29318,8
3,52388,10968,4
2,4529,10519,7
1,72315,8730,5
3,49858,19329,2
2,43518,24685,7
1,68970,27706,5
1,69208,12597,8
3,31800,24738,8
3,72080,18195,8
3,52349,18268,8
3,69715,27932,8
3,28055,8619,2
2,21190,16828,7
2,10086,20964,6
3,20808,16772,2
1,19173,6841,8
1,25456,13634,1
1,21125,17491,4
1,5476,25891,3
1,58069,29032,2
1,23798,23059,4
3,1709,25251,6
3,1529,27400,3
1,74788,15878,5
3,7978,22512,7
1,17496,19872,3
1,1867,17748,6
2,71029,27439,3
3,30473,20493,3
2,22628,8815,8
3,14017,6283,6
3,51494,6005,3
2,22928,17973,8
1,68502,31807,1
1,60422,27361,5
2,32248,28426,4
2,63568,34017,4
2,15268,12492,2
1,18391,10543,6
1,31651,6534,1
1,22418,24991,6
1,2644,34425,8
3,70565,26504,1
2,30348,30584,7
2,63309,12659,3
1,12119,7536,6
1,53788,17976,2
2,49568,14482,4
1,52347,18758,4
2,69979,19185,1
2,13170,23824,1
3,23500,20273,3
3,38351,31877,2
3,5620,9506,2
2,20415,11371,2
3,20482,12078,7
2,3291,21330,2
2,34042,10117,6
3,56410,15278,4
1,14080,16608,3
2,60493,27119,2
3,26818,34456,4
1,32512,29620,4
2,24352,28304,6
2,51798,34015,5
1,2202,28655,1
2,12477,13288,2
3,66367,27296,5
1,44342,24674,3
3,38705,10205,2
3,33132,9033,7
1,61467,12339,4
3,17308,32240,4
1,56538,10035,5
1,16473,9732,8
1,23018,10586,7
3,49710,13009,4
3,34824,11753,6
3,22051,13514,2
2,48707,28472,4
2,62539,33528,3
3,67851,19617,3
2,51714,6195,2
1,55242,32352,8
3,40668,20129,7
2,58742,9709,8
2,2149,27402,8
1,71358,8778,8
1,4522,34916,4
3,12311,11947,8
2,50269,30343,5
2,22411,29059,7
3,59948,29693,2
3,27038,12198,3
1,27105,25657,1
1,42777,25600,1
2,35771,28473,8
1,24711,23928,6
2,69969,32337,6
1,12543,24187,2
3,21157,29117,1
3,46480,17250,5
2,46956,18496,7
1,62950,13523,2
3,52994,23842,6
1,1305,22106,1
2,17884,16262,6
3,35699,8238,6
1,21595,32915,6
2,18223,34864,5
1,6543,14868,8
3,25558,22545,1
2,3205,14927,6
2,40977,8014,6
3,10660,26455,4
3,52445,15541,6
1,47390,27976,7
3,62936,7835,8
1,11227,8791,8
2,24117,15984,2
3,65086,12785,1
3,57770,28948,2
2,61349,21820,5
2,69203,13627,8
2,6635,22116,3
3,66833,32514,8
2,6685,24884,7
2,73913,34035,3
3,70249,11332,3
1,15862,14830,2
2,30567,31582,6
3,26034,10868,7
3,28292,12303,3
1,46089,16367,6
2,63082,20573,7
3,19005,11561,3
3,21836,25875,1
2,71085,17784,4
2,4768,22543,6
1,19358,20952,7
1,42235,13455,1
3,54583,24025,4
2,40576,8252,3
1,64198,12885,6
3,46910,6747,5
2,45876,33413,8
2,11983,11248,2
2,66987,12612,2
2,41328,11612,7
3,25225,18866,4
1,46184,16144,1
2,47239,11952,7
3,20067,27094,6
3,51132,30324,5
2,51814,13701,8
3,1477,12711,6
3,72063,27914,8
2,29986,33765,6
1,17265,11497,8
1,40400,7806,8
1,31100,33401,3
2,38920,33231,5
1,33743,32468,4
3,54475,18464,6
2,24616,27742,4
2,68275,11873,2
3,74121,12320,1
3,19327,26964,6
1,49889,26917,1
2,23711,20695,1
2,61924,20803,5
3,1244,22203,7
3,11125,25805,8
1,7052,22349,4
2,26099,15456,3
3,62068,20243,2
2,62395,33881,1
3,24260,27974,4
3,53040,21918,3
3,27863,32447,5
2,60383,9435,4
2,74256,27307,8
2,5215,19857,6
1,72391,9995,4
1,40102,23940,2
2,71650,11879,3
2,28582,6488,3
2,67554,31103,5
3,60924,9326,3
1,61569,7475,3
3,31773,28870,2
1,41005,12778,3
1,43292,14893,8
3,44932,29475,2
2,31475,18753,7
2,26658,31545,7
1,7056,25689,8
2,7821,28224,4
2,33116,26453,2
3,61891,20855,3
3,55109,20694,3
2,17649,20907,4
1,20148,32251,4
2,16777,28663,7
1,54448,25124,8
2,12075,10331,6
1,67625,19193,6
2,66900,15004,5
3,66576,26432,4
1,41794,18895,4
2,20784,26811,3
2,13624,21444,6
3,65767,13730,3
2,54500,19785,2
1,3480,18090,7
1,6702,26871,5
3,11304,8885,3
1,11112,17034,5
1,6984,27566,3
2,50383,21682,6
3,73556,32581,4
3,75407,12094,2
2,55823,20997,8
3,2378,20379,8
3,33437,24311,3
1,72878,21566,4
2,13360,11291,7
2,71541,27939,2
2,71001,8593,4
2,27863,9546,1
1,7538,11839,2
2,33563,17160,2
1,46812,19624,3
3,39793,29856,5
2,50295,18439,4
1,20066,13326,4
1,28971,8708,7
1,72193,11580,2
2,60743,10285,5
2,34472,34250,3
3,31031,23221,2
2,7071,9701,7
3,50153,28758,1
2,47440,31325,5
2,26376,13965,3
3,32426,7373,8
2,21834,20274,1
1,13465,25190,2
3,40534,28647,2
1,33137,10932,8
1,2288,18368,2
3,45272,20323,6
1,36852,9232,8
3,9052,16869,4
3,65301,31822,2
1,3992,33675,7
1,26206,17459,6
1,66469,19438,5
2,75373,7297,2
3,61610,12063,3
2,42486,28595,2
3,62980,22664,8
